GEOID,route_id,n_stops,best_headway_min,total_trips,route_short_name,route_long_name,route_type
12086010021,30430,7,30.0,38,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086010021,30435,3,60.0,9,95,I-95 GOLDEN GLADES EXPRESS,3
12086010021,30449,8,22.5,63,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086010022,30416,17,30.0,82,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010022,30430,10,30.0,55,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086010022,30435,4,60.0,12,95,I-95 GOLDEN GLADES EXPRESS,3
12086010022,30449,8,22.5,64,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086010023,30415,19,30.0,110,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010023,30717,8,30.0,44,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010024,30415,33,15.0,204,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010024,30435,7,60.0,21,95,I-95 GOLDEN GLADES EXPRESS,3
12086010024,30449,14,22.5,105,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086010025,30415,21,7.826086956521739,180,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010025,30717,4,30.0,22,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010026,30415,8,25.714285714285715,52,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010198,30448,6,16.363636363636363,38,152,COUNTRY WALK-TRANSITWAY VIA 152 ST,3
12086010201,30446,1,30.0,6,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010205,30422,18,16.363636363636363,116,52,GOULDS TO CORAL REEF DR STATION,3
12086010205,30436,3,45.0,12,97,SO.MIAMI HTS-PERRINE VIA CUTLER BAY,3
12086010205,30446,19,30.0,104,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010207,30422,15,15.0,108,52,GOULDS TO CORAL REEF DR STATION,3
12086010207,30436,15,45.0,50,97,SO.MIAMI HTS-PERRINE VIA CUTLER BAY,3
12086010207,30441,9,30.0,49,107,DOLPHIN MALL-MDC KEND-CUTLER BAY,3
12086010207,30466,3,120.0,3,500,CUTLER BAY LOCAL,3
12086010207,30468,6,8.181818181818182,100,601,METRO EXPRESS,3
12086010207,30469,4,10.588235294117647,59,602,TRANSITWAY LOCAL,3
12086010208,30422,31,15.0,210,52,GOULDS TO CORAL REEF DR STATION,3
12086010208,30436,18,30.0,65,97,SO.MIAMI HTS-PERRINE VIA CUTLER BAY,3
12086010208,30446,1,36.0,5,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010209,30446,2,30.0,11,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
