tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086009027,0.3976849332116586,0.43127263,-0.03358769271149814,Moderate
12086009028,0.39946583511325,0.42051154,-0.021045708637512928,Moderate
12086009029,0.3096230600995371,0.39439225,-0.08476919186884668,Moderate
12086009030,0.4927888966501266,0.4943838,-0.0015949153005569983,High
12086009031,0.3769019515251822,0.388632,-0.011730047967463075,Moderate
12086009057,0.5411332642023498,0.56545717,-0.024323901038891704,High
12086009066,0.595253148432465,0.60350657,-0.008253416661529123,Critical
12086009049,0.5850417880578329,0.61009616,-0.02505436853930454,Critical
12086009060,0.5645023618814123,0.57301974,-0.008517381084285902,High
12086009039,0.48160143606010647,0.44313297,0.03846846930328579,High
12086009040,0.31348744293072783,0.3235372,-0.010049757758587963,Low
12086009043,0.47652311681239734,0.46270004,0.013823077664066652,High
12086009044,0.4923197261393809,0.506634,-0.014314270824120068,High
12086009050,0.5920388126828007,0.5963328,-0.004293975784606552,Critical
12086009102,0.564625999782337,0.610503,-0.045877018120037305,Critical
12086009200,0.7299682547313071,0.7290634,0.0009048630458212692,Critical
12086009305,0.3403001630114909,0.43104467,-0.09074450494772235,Moderate
12086009317,0.6258095258354025,0.5803875,0.045422052729018225,Critical
12086009324,0.6305101988407452,0.6167438,0.013766395816453225,Critical
12086009321,0.5640358635703869,0.5788897,-0.014853864022081331,High
12086009323,0.5385440710074623,0.5823321,-0.04378800363471913,Critical
12086009327,0.612998223684879,0.60576,0.007238245390506437,Critical
12086009312,0.3007374489214855,0.3233259,-0.02258845330210152,Low
12086009319,0.5638911884177611,0.5969485,-0.03305731603017592,Critical
12086009314,0.4329368659583297,0.43960708,-0.0066702178391251365,Moderate
12086009315,0.687772464901957,0.66812897,0.01964349761680073,Critical
12086009402,0.5443055042849491,0.54966694,-0.005361436880975012,High
12086009506,0.6059422950187132,0.6173086,-0.011366321619470376,Critical
12086009503,0.2675972955907252,0.29447556,-0.02687825982919667,Low
12086009504,0.3127084650536004,0.3229378,-0.010229321525531687,Low
12086009602,0.5842666985585707,0.5905225,-0.00625582913613143,Critical
12086009703,0.4156815734800907,0.4115655,0.004116061061343768,Moderate
12086009704,0.39348907984429765,0.37653428,0.01695479668313432,Moderate
12086009705,0.42095399504723285,0.39814416,0.02280983930649494,Moderate
12086009706,0.45987000479374157,0.4351477,0.024722302099802362,Moderate
12086009803,0.44180431256071256,0.45592293,-0.014118618872011435,High
12086009804,0.4326323610140344,0.45208818,-0.019455816190097674,High
12086009806,0.5137324609999829,0.46879357,0.04493889000465212,High
12086009809,0.5774431845824548,0.582839,-0.005395827563541289,Critical
12086009812,0.5622584336395912,0.56545764,-0.0031992084388084985,High
12086009907,0.5907753503728955,0.6099812,-0.019205828864470198,Critical
12086009903,0.32594779300304266,0.32869714,-0.0027493519821563117,Low
12086009904,0.5492808845657803,0.5318602,0.017420711817214607,High
12086009905,0.3210389557978236,0.3425118,-0.021472847113934823,Low
12086009906,0.2982394139595634,0.3352169,-0.03697749568742453,Low
12086010026,0.6340227546518908,0.584109,0.0499137463396655,Critical
12086010017,0.5398243934345379,0.5546289,-0.014804515199647872,High
12086010021,0.5510938893088253,0.5627971,-0.01170323984538002,High
12086010020,0.573892687931566,0.6230986,-0.049205923900099036,Critical
12086010010,0.35303745958556165,0.39701924,-0.043981777694330315,Moderate
12086010024,0.6273807322278007,0.60504264,0.02233809583329993,Critical
12086010012,0.36264426012257206,0.36741257,-0.004768307016099815,Low
12086010013,0.3835245694194489,0.4477199,-0.06419533238070674,High
12086010015,0.4744846432297239,0.46324676,0.011237880477190931,High
12086010016,0.4588863179315508,0.47979635,-0.020910032070737994,High
12086010193,0.6812125059742058,0.6267668,0.054445705093773666,Critical
12086010198,0.5222549705162985,0.4963531,0.02590188070688082,High
12086010201,0.7535277573942276,0.7351996,0.01832818673840486,Critical
12086010212,0.5936107869996358,0.6027511,-0.0091402892218303,Critical
12086010205,0.3558806936813476,0.40975207,-0.05387137722243046,Moderate
12086010207,0.4042297353615461,0.3935416,0.010688131081074304,Moderate
12086010208,0.4242756682076121,0.40798426,0.016291411463227323,Moderate
12086010209,0.6868427875491092,0.6716356,0.015207159802527181,Critical
12086010213,0.6294047605253891,0.6227995,0.006605244801206944,Critical
12086010303,0.9181726356796871,0.7723662,0.1458064099602352,Critical
12086010400,0.3818098067312355,0.39478472,-0.012974912020671858,Moderate
